Model,AIME24,AIME25,AMC23,MATH500,Minerva,OlympiadBench,gsm8k,Math_AVG,bbeh,mmlupro,supergpqa,General_AVG,Overall_AVG
Qwen2.5-Math-1.5B,5.63,2.92,27.5,19.4,2.94,13.95,12.66,12.14,1.74,16.22,13.52,10.49,11.65
data_AIME24_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V1,7.92,4.69,27.5,25.2,5.51,18.1,19.03,15.42,1.11,15.13,12.1,9.45,13.63
data_AIME24_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V2,8.75,3.65,40.0,36.8,5.88,24.93,34.72,22.1,1.33,16.54,11.5,9.79,18.41
data_AIME24_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V3,9.06,4.9,47.5,55.0,11.03,29.67,60.2,31.05,2.88,19.2,12.29,11.46,25.17
data_AIME24_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V4,10.21,5.42,40.0,61.4,17.28,30.12,72.71,33.88,2.65,22.44,13.01,12.7,27.52
data_AIME24_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V5,10.52,4.58,45.0,63.8,16.18,32.79,76.5,35.62,4.2,22.86,13.42,13.49,28.99
data_AIME24_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V6,12.29,4.38,45.0,66.4,18.01,30.71,78.32,36.44,4.87,22.11,13.24,13.41,29.53
data_AIME24_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V7,11.67,5.83,42.5,65.6,19.85,30.12,78.39,36.28,4.2,24.27,13.42,13.96,29.58
data_AIME24_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V8,12.19,4.48,45.0,65.0,19.85,30.56,78.09,36.45,3.32,24.27,13.54,13.71,29.63
data_AIME24_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V9,11.98,5.52,45.0,64.8,19.85,30.42,77.79,36.48,3.54,22.61,13.99,13.38,29.55
data_AIME24_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V10,13.96,3.96,47.5,66.2,21.69,31.9,76.65,37.41,3.76,24.94,13.91,14.2,30.45
data_AIME24_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V11,12.19,4.9,42.5,64.6,21.69,30.12,77.41,36.2,4.2,24.36,13.65,14.07,29.56
data_AIME24_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V12,14.37,4.9,45.0,65.4,22.06,31.45,76.42,37.09,3.54,24.77,13.31,13.87,30.12
data_AIME24_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V13,14.48,5.52,50.0,65.8,21.69,30.71,77.03,37.89,3.76,21.45,12.75,12.65,30.32
data_AIME24_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V14,15.63,4.69,47.5,67.0,20.96,32.2,76.72,37.81,3.76,23.94,12.63,13.44,30.5
data_AIME24_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V15,15.42,6.04,47.5,65.2,22.06,31.01,77.18,37.77,3.1,22.61,13.69,13.13,30.38
