Model,AIME24,AIME25,AMC23,MATH500,Minerva,OlympiadBench,gsm8k,Math_AVG,bbeh,mmlupro,supergpqa,General_AVG,Overall_AVG
Qwen2.5-Math-1.5B,5.63,2.92,27.5,19.4,2.94,13.95,12.66,12.14,1.74,16.22,13.52,10.49,11.65
data_AMC23_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V1,6.77,3.54,35.0,36.0,5.88,22.7,34.34,20.6,1.77,15.05,11.09,9.3,17.21
data_AMC23_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V2,8.75,5.31,47.5,63.6,16.18,31.45,73.54,35.19,2.88,22.53,13.05,12.82,28.48
data_AMC23_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V3,9.27,5.42,50.0,66.6,18.75,29.82,77.18,36.72,3.98,22.86,13.42,13.42,29.73
data_AMC23_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V4,10.73,5.0,50.0,64.2,17.28,31.75,76.5,36.49,3.54,24.02,14.44,14.0,29.75
data_AMC23_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V5,8.85,5.31,45.0,66.6,22.79,30.56,76.8,36.56,3.1,23.69,13.46,13.42,29.62
data_AMC23_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V6,10.0,5.83,55.0,65.8,19.12,31.31,77.86,37.85,4.42,22.78,13.8,13.67,30.59
data_AMC23_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V7,10.31,6.67,50.0,65.6,21.69,30.42,77.63,37.47,3.54,21.36,13.27,12.72,30.05
data_AMC23_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V8,10.31,5.1,55.0,66.8,22.79,31.01,77.41,38.35,3.54,22.53,13.95,13.34,30.84
data_AMC23_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V9,10.21,5.42,50.0,65.4,24.26,31.45,77.41,37.74,4.87,23.19,13.8,13.95,30.6
data_AMC23_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V10,11.25,6.15,55.0,66.8,22.79,31.75,78.01,38.82,3.54,21.95,13.69,13.06,31.09
data_AMC23_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V11,9.9,5.83,57.5,68.8,22.79,31.75,78.24,39.26,3.54,22.36,13.24,13.05,31.4
data_AMC23_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V12,12.6,5.94,62.5,68.6,25.74,32.94,77.86,40.88,3.98,22.36,14.06,13.47,32.66
data_AMC23_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V13,9.48,5.1,57.5,67.6,25.74,32.64,77.63,39.38,3.76,21.03,13.12,12.64,31.36
data_AMC23_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V14,11.88,5.94,62.5,67.8,28.68,32.94,77.1,40.98,3.76,21.36,12.56,12.56,32.45
data_AMC23_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V15,10.42,4.48,62.5,69.0,27.57,32.05,78.09,40.59,4.2,21.61,12.71,12.84,32.26
