Model,AIME24,AIME25,AMC23,MATH500,Minerva,OlympiadBench,gsm8k,Math_AVG,bbeh,mmlupro,supergpqa,General_AVG,Overall_AVG
Qwen2.5-Math-1.5B,6.77,3.44,35.0,37.2,13.6,23.0,39.65,22.67,,,,,22.67
data_MATH500_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V1,9.17,4.38,45.0,65.2,21.32,29.08,74.0,35.45,2.43,22.03,12.33,12.26,28.49
data_MATH500_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V2,8.75,4.79,50.0,64.6,24.26,33.23,74.98,37.23,3.32,25.35,14.18,14.28,30.35
data_MATH500_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V3,9.69,4.58,50.0,66.6,25.74,30.42,76.19,37.6,3.54,24.77,14.82,14.38,30.64
data_MATH500_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V4,9.27,4.48,50.0,68.4,29.04,32.05,76.65,38.56,3.32,26.85,14.78,14.98,31.48
data_MATH500_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V5,9.69,5.63,57.5,66.8,27.21,31.31,77.03,39.31,3.54,26.52,15.05,15.04,32.03
data_MATH500_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V6,9.27,5.63,57.5,67.2,30.15,33.53,76.8,40.01,4.2,25.1,14.63,14.64,32.4
data_MATH500_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V7,8.96,6.67,55.0,69.4,29.78,32.79,78.92,40.22,3.76,25.19,14.52,14.49,32.5
data_MATH500_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V8,10.21,4.58,60.0,68.6,29.04,34.87,78.7,40.86,4.2,24.85,14.29,14.45,32.93
data_MATH500_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V9,11.46,5.63,55.0,70.4,30.51,33.68,78.92,40.8,3.32,27.18,15.08,15.19,33.12
data_MATH500_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V10,10.63,6.56,57.5,72.2,28.68,34.57,80.89,41.58,4.2,26.93,15.31,15.48,33.75
data_MATH500_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V11,9.58,6.15,55.0,73.8,29.78,33.98,80.29,41.23,3.32,28.18,14.52,15.34,33.46
data_MATH500_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V12,11.46,6.25,57.5,73.0,30.88,34.72,81.2,42.14,4.2,28.6,16.33,16.38,34.41
data_MATH500_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V13,12.92,5.63,57.5,73.8,31.62,36.5,81.73,42.81,4.65,28.1,15.54,16.1,34.8
data_MATH500_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V14,9.79,5.73,55.0,72.8,31.99,34.57,81.43,41.62,5.31,27.68,15.2,16.06,33.95
data_MATH500_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V15,12.08,6.46,57.5,73.6,32.35,35.61,81.96,42.79,4.42,27.35,15.23,15.67,34.66
