Step,AIME24,AIME25,AMC23,MATH500,Minerva,OlympiadBench,gsm8k,Math_AVG,bbeh,mmlupro,supergpqa,General_AVG,Overall_AVG
0,5.63,2.92,27.5,19.4,2.94,13.95,12.66,12.14,1.74,16.22,13.52,10.49,11.65
20,7.71,5.21,45.0,62.4,18.75,32.05,72.1,34.75,3.47,21.15,12.39,12.34,28.02
40,8.44,4.38,50.0,66.2,18.01,31.01,76.88,36.42,4.22,23.08,12.39,13.23,29.46
60,9.38,4.38,47.5,64.0,19.85,30.71,76.65,36.07,4.22,23.66,14.28,14.05,29.46
80,9.38,5.94,57.5,67.6,21.69,32.2,77.33,38.81,5.71,21.49,12.96,13.39,31.18
100,10.1,4.58,55.0,68.2,22.43,32.49,78.62,38.77,5.71,21.74,13.98,13.81,31.29
120,10.42,4.69,52.5,69.0,23.9,33.68,78.54,38.96,5.46,22.24,12.73,13.48,31.32
140,9.69,5.21,55.0,68.4,24.26,33.53,79.76,39.41,4.96,22.41,13.37,13.58,31.66
160,11.35,5.42,52.5,69.4,26.1,35.76,79.23,39.97,6.2,21.91,13.18,13.76,32.11
180,12.29,5.0,52.5,69.6,26.47,34.72,79.91,40.07,5.71,21.57,15.0,14.09,32.28
200,11.67,6.46,52.5,68.8,25.37,36.8,79.38,40.14,4.22,21.99,13.37,13.19,32.06
210,9.79,4.48,52.5,69.6,26.1,35.61,80.36,39.78,5.21,20.07,13.37,12.88,31.71
